source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
cnn,CNN,NA,The week in 24 photos,Take a look at 24 photos of the week from November 30 through December 6.,https://www.cnn.com/2018/12/06/world/gallery/week-in-photos-1206/index.html,https://cdn.cnn.com/cnnnext/dam/assets/181206170305-02-week-in-photos-1206-super-tease.jpg,2018-12-07T02:37:27Z,NA
cnn,CNN,NA,'Fearless Girl' takes Wall Street by storm,"A defiant statue, ""Fearless Girl,"" has stared down the famous Wall Street bull as a call for more women in leadership roles.",https://www.cnn.com/videos/business/2018/12/06/fearless-girl-statue-new-york-stock-exchange.cnn,https://cdn.cnn.com/cnnnext/dam/assets/181128105612-02-fearless-girl-moving-112818-super-tease.jpg,2018-12-07T21:02:05Z,NA
cnn,CNN,"Fredreka Schouten, CNN","NC candidate owes $53,000 to firm at center of absentee ballot effort, records show","The campaign of North Carolina Republican Mark Harris still owed more than $53,000 after last month's election to a consulting firm at the center of an absentee ballot effort that has sparked allegations of fraud and could trigger a new House election, new fi…",https://www.cnn.com/2018/12/07/politics/north-carolina-mark-harris-red-dome-group-debt/index.html,https://cdn.cnn.com/cnnnext/dam/assets/181102131610-mark-harris-trump-rally-super-tease.jpg,2018-12-07T20:20:18Z,"Washington (CNN) The campaign of North Carolina Republican Mark Harris still owed more than $53,000 after last month's election to a consulting firm at the center of an absentee ballot effort that has sparked allegations of fraud and could trigger a new House… [+2072 chars]"
cnn,CNN,NA,See Tillerson's stunning Trump rebuke,"President Trump lashes out at his former Secretary of State Rex Tillerson calling him ""dumb as a rock"" in a tweet following an interview Tillerson did with CBS where he called Trump ""undisciplined.""",https://www.cnn.com/videos/politics/2018/12/07/trump-rex-tillerson-tweet-david-axelrod-sot-nr-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/181207154507-trump-tillerson-split-1207-super-tease.jpg,2018-12-07T20:57:47Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
cnn,CNN,NA,'Celebrity' duck inspires internet memes,What the duck?! Central Park's Mandarin duck has become an even bigger celebrity. Jeanne Moos has this duck redux.,https://www.cnn.com/videos/us/2018/12/07/new-york-celebrity-duck-moos-pkg-ebof-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/181206204704-nyc-duck-moos-pkg-super-tease.jpg,2018-12-07T01:56:59Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
cnn,CNN,"Nicole Chavez, CNN",CNN evacuates NY offices after bomb threat,"CNN's New York offices and studios have been evacuated due to a phoned bomb threat, the company said.",https://www.cnn.com/2018/12/06/us/cnn-new-york-bomb-threat-evacuation/index.html,https://cdn.cnn.com/cnnnext/dam/assets/180611091108-time-warner-center-super-tease.jpg,2018-12-07T03:50:51Z,"(CNN) CNN's New York offices and studios have been evacuated due to a phoned bomb threat, the company said. In the meantime, the network has gone to taped programming. All vehicle and pedestrian traffic has been blocked on West 58th Street between 8th and 9th… [+372 chars]"
cnn,CNN,NA,White House trade adviser calls Huawei 'bad actor',"White House trade adviser Peter Navarro addresses the arrest of Huawei's CFO saying the ""timing was unusual but the actions were legitimate.""",https://www.cnn.com/videos/business/2018/12/07/peter-navarro-huawei.cnn-business,https://cdn.cnn.com/cnnnext/dam/assets/181207104817-peter-navarro-super-tease.jpg,2018-12-07T15:53:12Z,NA
cnn,CNN,"George Ramsay, CNN
Photography by Red Bull Media House / Getty Images",How 'crazy' triple trick changed snowboarding,"She had pictured the trick plenty of times in her mind's eye and even tried it once onto an airbag but no woman had ever pulled it off on snow. Now, high on Austria's Stubai Glacier, snowboarder Anna Gasser gazed down at the huge white ramp that could propel …",https://edition.cnn.com/2018/12/07/sport/anna-gasser-snowboarding-winter-sports-interview-spt-intl/index.html,https://cdn.cnn.com/cnnnext/dam/assets/181207173304-anna-gasser-snowboarding-tease-pic-super-tease.jpg,2018-12-07T17:20:12Z,"(CNN) She had pictured the trick plenty of times in her mind's eye and even tried it once onto an airbag but no woman had ever pulled it off on snow. Now, high on Austria's Stubai Glacier, snowboarder Anna Gasser gazed down at the huge white ramp that could p… [+4902 chars]"
cnn,CNN,NA,CHI Geneva Preview,Silver Medallist Martin Fuchs has his sights set on success in Geneva,https://www.cnn.com/videos/tv/2018/12/07/chi-geneva-preview-spt.cnn,https://cdn.cnn.com/cnnnext/dam/assets/181206191850-chi-geneva-preview-spt-00004718-super-tease.jpg,2018-12-07T00:22:59Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
cnn,CNN,NA,"Speier: Kushner, Trump Jr. may face subpoenas - CNN","Speier: Kushner, Trump Jr. may face subpoenas CNN Dem lawmaker: Trump Jr. lied to Congress on two occasions | TheHill The Hill View full coverage on Google News",https://www.cnn.com/videos/politics/2018/12/07/jackie-speier-subpeona-kushner-trump-jr-sot-brianna-keilar-crn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/180302121601-17-jared-kushner-super-tease.jpg,2018-12-07T22:05:45Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
